month,rank,char,opp,score
202502,36,TERRY,KIMBERLY,5.079
202502,36,TERRY,JP,4.704
202502,36,TERRY,RASHID,5.023
202502,36,TERRY,DEE JAY,4.951
202502,36,TERRY,A.K.I.,4.974
202502,36,TERRY,M. BISON,5.127
202502,36,TERRY,BLANKA,5.115
202502,36,TERRY,LUKE,4.902
202502,36,TERRY,GUILE,4.987
202502,36,TERRY,LILY,5.444
202502,36,TERRY,MANON,4.881
202502,36,TERRY,CHUN-LI,4.995
202502,36,TERRY,MARISA,5.026
202502,36,TERRY,CAMMY,5.067
202502,36,TERRY,KEN,5.023
202502,36,TERRY,JURI,5.047
202502,36,TERRY,JAMIE,5.078
202502,36,TERRY,ZANGIEF,5.065
202502,36,TERRY,ED,5.020
202502,36,TERRY,RYU,4.999
202502,36,TERRY,AKUMA,5.040
202502,36,CHUN-LI,MAI,4.645
202502,36,CHUN-LI,DHALSIM,4.958
202502,36,CHUN-LI,E. HONDA,4.963
202502,36,CHUN-LI,KIMBERLY,5.002
202502,36,CHUN-LI,JP,4.629
202502,36,CHUN-LI,RASHID,4.898
202502,36,CHUN-LI,DEE JAY,4.955
202502,36,CHUN-LI,A.K.I.,4.915
202502,36,CHUN-LI,M. BISON,4.749
202502,36,CHUN-LI,BLANKA,5.115
202502,36,CHUN-LI,LUKE,5.223
202502,36,CHUN-LI,GUILE,5.091
202502,36,CHUN-LI,LILY,4.895
202502,36,CHUN-LI,MANON,4.951
202502,36,CHUN-LI,TERRY,5.007
202502,36,CHUN-LI,MARISA,4.778
202502,36,CHUN-LI,CAMMY,4.812
202502,36,CHUN-LI,KEN,5.131
202502,36,CHUN-LI,JURI,5.172
202502,36,CHUN-LI,JAMIE,4.890
202502,36,CHUN-LI,ZANGIEF,5.006
202502,36,CHUN-LI,ED,5.258
202502,36,CHUN-LI,RYU,5.111
202502,36,CHUN-LI,AKUMA,5.162
202502,36,MARISA,MAI,4.786
202502,36,MARISA,DHALSIM,4.287
202502,36,MARISA,E. HONDA,5.184
202502,36,MARISA,KIMBERLY,4.661
202502,36,MARISA,JP,4.696
202502,36,MARISA,RASHID,4.793
202502,36,MARISA,DEE JAY,5.311
202502,36,MARISA,A.K.I.,4.852
202502,36,MARISA,M. BISON,5.081
202502,36,MARISA,BLANKA,4.670
202502,36,MARISA,LUKE,5.020
202502,36,MARISA,GUILE,5.435
202502,36,MARISA,LILY,4.654
202502,36,MARISA,MANON,5.007
202502,36,MARISA,TERRY,4.979
202502,36,MARISA,CHUN-LI,5.223
202502,36,MARISA,CAMMY,5.306
202502,36,MARISA,KEN,4.906
202502,36,MARISA,JURI,4.801
202502,36,MARISA,JAMIE,4.968
202502,36,MARISA,ZANGIEF,5.184
202502,36,MARISA,ED,4.959
202502,36,MARISA,RYU,5.036
202502,36,MARISA,AKUMA,5.024
202502,36,CAMMY,MAI,4.806
202502,36,CAMMY,DHALSIM,5.166
202502,36,CAMMY,E. HONDA,4.370
202502,36,CAMMY,KIMBERLY,4.878
202502,36,CAMMY,JP,5.038
202502,36,CAMMY,RASHID,5.139
202502,36,CAMMY,DEE JAY,4.693
202502,36,CAMMY,A.K.I.,5.150
202502,36,CAMMY,M. BISON,5.016
202502,36,CAMMY,BLANKA,4.300
202502,36,CAMMY,LUKE,4.946
202502,36,CAMMY,GUILE,5.335
202502,36,CAMMY,LILY,4.851
202502,36,CAMMY,MANON,4.796
202502,36,CAMMY,TERRY,4.933
202502,36,CAMMY,CHUN-LI,5.199
202502,36,CAMMY,MARISA,4.713
202502,36,CAMMY,KEN,4.941
202502,36,CAMMY,JURI,4.936
202502,36,CAMMY,JAMIE,4.712
